no,review_id,user_id,business_id,stars,useful,funny,cool,text,date
0,YByDh56Hl11HoYdBm-uArA,9hhRs_n85m-jsKOXp3jt7Q,il_Ro8jwPlHresjw9EGmBg,1,0,0,0,"Went there at 4am and there was only one waitress. I don't go to Denny's often but I didn't remember the food being that bad, completely unsatisfactory. We only got 3 menus, the waitress only come to our table for drinks, order, food, check. We ran out of drinks and never got a refill of all you can eat pancakes. The ranch tasted like sour milk, I can make better pancakes with a box of ""just add water"" mix. Waste of 40$ for the four of us.",5/8/2016 8:49
1,3vwdkRRoUe4PewzD8HvQbQ,-BX5x3Ys-2JzFba3LiWlHA,il_Ro8jwPlHresjw9EGmBg,1,0,0,0,"I had an immensely frustrating experience here this morning and consequently don't plan to return.  I came in at about 6:20 AM for a cup of coffee and a quiet place to study before an oil change.  Although the hostess station had a sign stating that I needed to wait to be seated, no one acknowledged me.  After 2 minutes of standing there, I called ""Hello?"" audibly into the kitchen and still was not acknowledged.  I finally stood at the hostess station and called the restaurant from my cell phone in an attempt to be acknowledged.  The phone rang loudly into the restaurant for another 3-4 minutes with no acknowledgement.  I finally walked around the restaurant trying to find staff to acknowledge me and found a waitress.  She did not apologize for me not being acknowledged, but told me there was a problem with the gas in the restaurant and they could not prepare and serve food in a timely manner.  Needless to say, I didn't waste any more time here and went to a competitor.  I would recommend you don't waste your time here either.",8/30/2017 10:52
2,LX2or1ZvpaO8x9Xb8UxF5Q,tftplxTcJYHU8nrwCwtzFg,il_Ro8jwPlHresjw9EGmBg,2,1,0,0,"Food was decent, staff were accommodating. Restaurant was a filthy mess, disgusting restrooms; had I visited the facilities 1st, I wouldn't have eaten!",3/21/2015 14:00
3,LWQJo1dFvAgJQF_dxN6JCA,G_eZLhf1Kw5WBpMlXHizNQ,il_Ro8jwPlHresjw9EGmBg,4,0,0,0,The staff here was great. We had a bunch of people includeing two little ones. The waitstaff was fast with the refills and great with the kids. The food was what you exspect at a Dennys and the place was clean.,3/16/2014 13:59
4,yQJXhZIF6_VMC5gY7gBDAw,iYpCMhEqsped1647fF_u-A,il_Ro8jwPlHresjw9EGmBg,1,0,0,0,Food was awful!  Hamburger was burnt and cold.  Wrong  toppings. French fries were room temperature and already salt with to much salt. Don't order from there if you're looking for a regular hamburger and fries they can't handle it!!!,8/12/2018 15:32
5,Hrch9QsiJ0EUOKN__-DkEQ,Zh74qahMMcAON7PVR-_T8Q,il_Ro8jwPlHresjw9EGmBg,1,0,0,0,"I give this Dennys a one star because I found a hair on my plate under the egg I just ate.
I showed the waitress and she apologized, but clearly it wasn't her fault.
I would think the cooks would wear hair nets! Hello health department!",3/30/2018 14:49
6,E1fmNkKr74h2coVtdMXp7w,m0g8tdSJntizTBFXgOVxcw,il_Ro8jwPlHresjw9EGmBg,4,2,0,2,"Boy has Dennys stepped their game up!!! 

Gone are the days of the eggs that you questioned were powdered or not.....the suspect looking half done/half oinking bacon.....and the oily, slippery hashbrowns you assumed were in the potato family.
Dennys has changed y'all, at least on US 31. The service has been great every time I've been there, and the food.....OMG!!, The food is better than it's ever been. Don't worry, I have a picture for you! They still cater to that over 60 senior crowd in the morning, but that's what makes it so endearing to me. The place is clean, and I always leave satisfied. The only reason they didn't get 5 stars was for the Asst.Manager who always looks a mess, and really undeserving of the title. 

So finally,  I'm here to let you know....you don t have to be afraid of Dennys anymore!! At least on US 31.",2/6/2018 21:42
7,6QQrixryeboQrYOeLUQgsQ,zsCo7EsMSMVezidIrNKXRA,il_Ro8jwPlHresjw9EGmBg,4,0,0,0,"I haven't been to Denny's since college when it was across the street from my campus.  Since I had to kill some time before my next appointment and wanted a sit- down place to eat some breakfast, I decided to stop here. The food is great and I love the new avocado menu.  The caramel coffee is also new and yummy.  Service is prompt, accomodating, and friendly. I was checked on several times by waitress, host, and busser, so I was never lacking coffee or water.  Also, there is free Wi-fi! Honestly the food and cleanliness is better than some ""fancier"" places like LePeep. I'm glad I stopped by!",6/11/2014 13:37
8,XM93uG4oK0uMV9PIQx2IRw,Q3rQAa56A6ZYRaXTpH_CEQ,il_Ro8jwPlHresjw9EGmBg,5,0,0,0,"Oh Dennys,  thst you for not making me regret my choice today!  5 stars for days. ..perfect waitress, perfect coffee, perfect food selection. I mean,  come on this is Dennys. ..""Not very high expectations,"" said the pretentious foodie...Thank you for making literally eat my words. Seriously get the ginger bread French Toast. ..",11/7/2014 16:34
9,B4zRnPk3L4RVv3Da-oAR1A,wt2TQCew6iFXSkzEviYv7g,il_Ro8jwPlHresjw9EGmBg,4,0,0,0,Stopped in to see how the remodel went at this location! It is very nice open air feeling no more yucky carpet! Staff seems so much happier in the changed atmosphere. Food was good as usual. Recommend you stop in and check it out!,7/13/2016 13:52
